ReferenceArea,UnitOfMeasure,Age,Sex,CANCER_SITE,CancerSite,TIME_PERIOD,OBS_VALUE
Estonia,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,25.4
Estonia,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,27.2
Finland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,22.8
Finland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,21.8
Finland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,19.1
Finland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,20.1
Canada,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,43.7
Canada,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,35.9
Canada,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,37.9
Türkiye,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,9.1
Türkiye,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,13.2
Türkiye,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,20.5
Spain,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,21
Spain,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,22.5
Spain,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,22.9
Spain,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,24.2
New Zealand,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,53
New Zealand,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,44.1
New Zealand,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,41.5
Japan,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,49.3
Japan,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,41.7
Japan,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,42.1
Latvia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,17.3
Czechia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,16.2
Czechia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,13.8
Czechia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,14.1
Belgium,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,329.7
Belgium,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,347.4
Belgium,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,356.7
Belgium,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,364.8
China,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,36.1
Portugal,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,192.8
Portugal,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,191.1
Portugal,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,190.8
Portugal,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,198.1
Israel,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,23.8
Israel,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,21.2
Hungary,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,63
Hungary,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,57.9
Hungary,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,54.5
Switzerland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,48.5
Switzerland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,44.6
Switzerland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,38.4
Switzerland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,35.1
India,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,97.4
Türkiye,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,22
Türkiye,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,28.3
Türkiye,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,39.1
Spain,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,24.2
Spain,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,35.9
Spain,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,57.2
Spain,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,65.2
Costa Rica,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,193.5
Finland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,36.8
Finland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,33.4
Finland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,29.9
Finland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,29.9
Estonia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,31.5
Estonia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,35.1
Costa Rica,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,9.8
United States,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,406.6
United States,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,335
United States,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,347
Belgium,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,32.7
Belgium,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,31.9
Belgium,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,35.5
Belgium,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,36.7
France,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,56.5
France,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,59.3
France,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,118.3
France,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,98
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,54.5
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,60.6
Slovak Republic,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,61.6
Chile,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,11.9
Chile,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,14.4
Italy,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,9.1
Italy,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,8.1
Italy,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,6.7
Italy,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,6.7
Russia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,21.8
Korea,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,53.3
Korea,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,46.4
Korea,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,45.5
Indonesia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,133.5
Costa Rica,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,16.4
Slovenia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,50.5
Slovenia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,53.8
Sweden,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,12.1
Sweden,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,14.4
Sweden,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,18.1
Sweden,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,19.1
Korea,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,220.5
Korea,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,262.4
Korea,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,307.8
Korea,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,285.7
Korea,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,309.4
Korea,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,340
Italy,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,24.9
Italy,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,40.5
Italy,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,58.4
Italy,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,67.6
Colombia,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,12.9
Australia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,83.2
Australia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,84.8
Australia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,86
Poland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,24.1
Poland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,44.3
Poland,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,35.9
Mexico,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,17
Mexico,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,14
Mexico,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,10.5
Czechia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,38.1
Czechia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,63
Czechia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,72.2
Belgium,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,11.2
Belgium,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,12.2
Belgium,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,16.2
Belgium,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,19.8
Switzerland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,27.8
Switzerland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,34
Switzerland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,25.9
Switzerland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,29.4
Greece,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,32.1
Greece,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,33.4
Greece,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,29.1
Greece,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,28.5
United Kingdom,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,25.3
United Kingdom,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,26.5
United Kingdom,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,23.5
United Kingdom,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,24.4
Poland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,23.5
Poland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,17.6
Poland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,19.5
Germany,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,45
Germany,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,45.5
Germany,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,45.2
Germany,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,39.7
Estonia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,230.1
Estonia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,242.8
New Zealand,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,298.8
New Zealand,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,287.1
New Zealand,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,274.3
Ireland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,272.1
Ireland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,273.6
Ireland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,355.9
Ireland,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,343.3
Netherlands,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,91.6
Netherlands,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,86.7
Netherlands,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,96.8
Netherlands,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,99
Indonesia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,15.9
Luxembourg,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,309.3
Luxembourg,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,339.2
Luxembourg,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,324
Luxembourg,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,309.1
Korea,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,33.1
Korea,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,27.6
Korea,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,28.7
Colombia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,151.5
China,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,174
Colombia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,13.4
Czechia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,32
Czechia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,29.6
Czechia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,27.1
India,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,3.1
Australia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,28.2
Australia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,25.6
Australia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,27
France,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,10.1
France,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,9.8
France,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,7.1
France,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,6.8
Brazil,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,59.5
Denmark,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,296.9
Denmark,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,285.5
Denmark,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,312.9
Denmark,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,328.8
Greece,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,15.5
Greece,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,17.5
Greece,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,13.3
Greece,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,13.5
Norway,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,36.4
Norway,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,36.8
Norway,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,34.8
Chile,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,40.1
Chile,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,34.8
Ireland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,254.6
Ireland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,254.3
Ireland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,317
Ireland,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,307.9
Germany,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,11.4
Germany,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,12.7
Germany,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,16.4
Germany,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,17.9
Lithuania,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,7.2
Ireland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,44.2
Ireland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,43.1
Ireland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,44.5
Ireland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,43.1
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,9.4
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,10.6
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,14.3
Switzerland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,30.1
Switzerland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,29.2
Switzerland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,26.7
Switzerland,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,27.3
Greece,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,191.5
Greece,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,203
Greece,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,162
Greece,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,163
Israel,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,96.8
Israel,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,80.5
Indonesia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,25.8
New Zealand,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,47.6
New Zealand,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,40.5
New Zealand,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,37.3
Iceland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,284.5
Iceland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,273.1
Iceland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,274.2
Poland,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,50.3
Poland,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,48.9
Poland,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,51.9
Italy,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,217.8
Italy,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,231.7
Italy,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,251.6
Italy,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,255.2
Italy,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,64.9
Italy,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,74.4
Italy,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,86.3
Italy,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,91.3
Hungary,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,15.7
Hungary,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,16.6
Hungary,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,18
Hungary,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,34
Hungary,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,32.9
Hungary,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,37.5
Norway,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,311.5
Norway,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,341.1
Norway,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,368.7
China,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,22.1
Türkiye,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,8.5
Türkiye,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,9.1
Türkiye,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,13.1
Estonia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,9
Estonia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,9.4
Iceland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,27
Iceland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,26.7
Iceland,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,28.2
Czechia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,66.1
Czechia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,52.9
Czechia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,50.9
Slovenia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,61.6
Slovenia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,82.9
Latvia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,27.8
